frame,x,y,visible
0,2461.3,183.5,1
1,2461.4,183.4,1
2,2461.4,183.5,1
3,2461.4,183.5,1
4,2461.4,183.5,1
5,2461.3,183.4,1
6,2461.3,183.4,1
7,2461.4,183.4,1
8,2461.4,183.3,1
9,2461.5,183.4,1
10,2461.5,183.4,1
11,2461.5,183.4,1
12,2461.5,183.4,1
13,2461.5,183.6,1
14,2461.5,183.6,1
15,2461.5,183.7,1
16,2461.6,183.7,1
17,2461.6,183.7,1
18,2461.6,183.7,1
19,2461.6,183.7,1
20,2461.6,183.7,1
21,2461.6,183.7,1
22,2461.6,183.6,1
23,2461.6,183.6,1
24,2461.6,183.7,1
25,2461.6,183.7,1
26,2461.6,183.6,1
27,2461.6,183.6,1
28,2461.6,183.7,1
29,2461.6,183.6,1
30,2461.6,183.6,1
31,2461.6,183.6,1
32,2461.6,183.6,1
33,2461.6,183.6,1
34,2461.5,183.6,1
35,2461.5,183.6,1
36,2461.5,183.6,1
37,2461.5,183.6,1
38,2461.5,183.6,1
39,2461.5,183.6,1
40,2461.5,183.6,1
41,2461.5,183.6,1
42,2461.5,183.6,1
43,2461.5,183.6,1
44,2461.5,183.7,1
45,2461.5,183.7,1
46,2461.5,183.7,1
47,2461.5,183.7,1
48,2461.5,183.7,1
49,2461.5,183.7,1
50,2461.6,183.7,1
51,2461.6,183.7,1
52,2461.6,183.7,1
53,2461.6,183.7,1
54,2461.6,183.6,1
55,2461.6,183.6,1
56,2461.6,183.6,1
57,2461.6,183.6,1
58,2461.5,183.7,1
59,2461.5,183.6,1
60,2461.3,183.5,1
61,2461.3,183.5,1
62,2461.3,183.6,1
63,2461.3,183.6,1
64,2461.3,183.6,1
65,2461.3,183.5,1
66,2461.3,183.5,1
67,2461.3,183.5,1
68,2461.3,183.6,1
69,2461.3,183.6,1
70,2461.3,183.6,1
71,2461.3,183.6,1
72,2461.3,183.6,1
73,2461.3,183.6,1
74,2461.3,183.7,1
75,2461.3,183.7,1
76,2461.3,183.8,1
77,2461.3,183.8,1
78,2461.3,183.8,1
79,2461.3,183.8,1
80,2461.3,183.8,1
81,2461.3,183.8,1
82,2461.3,183.8,1
83,2461.3,183.8,1
84,2461.3,183.7,1
85,2461.3,183.7,1
86,2461.4,183.7,1
87,2461.4,183.7,1
88,2461.4,183.7,1
89,2461.4,183.7,1
90,2461.4,183.7,1
91,2461.4,183.7,1
92,2461.4,183.7,1
93,2461.4,183.7,1
94,2461.4,183.7,1
95,2461.4,183.7,1
96,2461.4,183.7,1
97,2461.4,183.7,1
98,2461.4,183.7,1
99,2461.4,183.7,1
100,2461.4,183.7,1
101,2461.4,183.7,1
102,2461.4,183.7,1
103,2461.4,183.7,1
104,2461.4,183.7,1
105,2461.4,183.7,1
106,2461.4,183.7,1
107,2461.4,183.7,1
108,2461.4,183.7,1
109,2461.4,183.7,1
110,2461.4,183.8,1
111,2461.4,183.8,1
112,2461.4,183.8,1
113,2461.4,183.8,1
114,2461.4,183.8,1
115,2461.4,183.8,1
116,2461.4,183.8,1
117,2461.4,183.8,1
118,2461.4,183.8,1
119,2461.4,183.8,1
120,2461.4,183.9,1
121,2461.4,183.8,1
122,2461.4,183.8,1
123,2461.4,183.8,1
124,2461.4,183.9,1
125,2461.4,183.9,1
126,2461.4,183.9,1
127,2461.4,183.9,1
128,2461.5,183.9,1
129,2461.5,183.9,1
130,2461.5,183.9,1
131,2461.5,183.9,1
132,2461.5,183.9,1
133,2461.5,183.9,1
134,2461.5,183.9,1
135,2461.4,183.9,1
136,2461.4,183.9,1
137,2461.4,183.9,1
138,2461.4,183.9,1
139,2461.4,183.9,1
140,2461.4,183.9,1
141,2461.5,183.9,1
142,2461.5,183.9,1
143,2461.5,183.9,1
144,2461.5,183.9,1
145,2461.5,183.9,1
146,2461.5,183.9,1
147,2461.5,183.9,1
148,2461.5,183.9,1
149,2461.5,183.9,1
150,2461.5,183.9,1
151,2461.5,183.9,1
152,2461.5,183.9,1
153,2461.5,183.9,1
154,2461.5,183.9,1
155,2461.5,183.9,1
156,2461.5,183.9,1
157,2461.5,183.9,1
158,2461.5,183.9,1
159,2461.5,183.8,1
160,2461.5,183.9,1
161,2461.5,183.8,1
162,2461.5,183.8,1
163,2461.5,183.8,1
164,2461.5,183.8,1
165,2461.5,183.8,1
166,2461.5,183.8,1
167,2461.5,183.8,1
168,2461.5,183.8,1
169,2461.5,183.8,1
170,2461.5,183.8,1
171,2461.5,183.8,1
172,2461.4,183.8,1
173,2461.4,183.8,1
174,2461.4,183.9,1
175,2461.4,183.9,1
176,2461.4,183.9,1
177,2461.4,183.9,1
178,2461.4,183.9,1
179,2461.4,183.9,1
180,2461.4,183.9,1
181,2461.3,183.9,1
182,2461.3,183.8,1
183,2461.3,183.8,1
184,2461.3,183.8,1
185,2461.3,183.8,1
186,2461.3,183.8,1
187,2461.3,183.8,1
188,2461.3,183.8,1
189,2461.3,183.8,1
190,2461.3,183.8,1
191,2461.3,183.8,1
192,2461.3,183.8,1
193,2461.3,183.9,1
194,2461.3,183.9,1
195,2461.3,183.9,1
196,2461.4,183.9,1
197,2461.3,183.9,1
198,2461.3,183.8,1
199,2461.3,183.8,1
200,2461.3,183.8,1
201,2461.3,183.9,1
202,2461.3,183.9,1
203,2461.3,183.9,1
204,2461.3,183.8,1
205,2461.3,183.8,1
206,2461.3,183.8,1
207,2461.3,183.8,1
208,2461.3,183.8,1
209,2461.3,183.8,1
210,2461.3,183.8,1
211,2461.3,183.8,1
212,2461.3,183.8,1
213,2461.3,183.8,1
214,2461.3,183.8,1
215,2461.3,183.8,1
216,2461.3,183.8,1
217,2461.3,183.8,1
218,2461.3,183.8,1
219,2461.3,183.8,1
220,2461.3,183.8,1
221,2461.3,183.8,1
222,2461.3,183.8,1
223,2461.3,183.8,1
224,2461.3,183.8,1
225,2461.3,183.8,1
226,2461.3,183.8,1
227,2461.3,183.8,1
228,2461.3,183.8,1
229,2461.3,183.8,1
230,2461.3,183.8,1
231,2461.3,183.8,1
232,2461.3,183.8,1
233,2461.2,183.8,1
234,2461.2,183.8,1
235,2461.2,183.8,1
236,2461.2,183.8,1
237,2461.2,183.8,1
238,2461.2,183.8,1
239,2461.3,183.8,1
240,2461.3,183.8,1
241,2461.3,183.8,1
242,2461.3,183.8,1
243,2461.3,183.8,1
244,2461.3,183.8,1
245,2461.3,183.8,1
246,2461.3,183.8,1
247,2461.3,183.8,1
248,2461.3,183.8,1
249,2461.3,183.8,1
250,2461.4,183.8,1
251,2461.4,183.7,1
252,2461.4,183.7,1
253,2461.4,183.7,1
254,2461.4,183.7,1
255,2461.4,183.7,1
256,2461.4,183.7,1
257,2461.4,183.7,1
258,2461.4,183.7,1
259,2461.4,183.8,1
260,2461.4,183.8,1
261,2461.4,183.8,1
262,2461.4,183.8,1
263,2461.4,183.8,1
264,2461.4,183.8,1
265,2461.4,183.8,1
266,2461.4,183.8,1
267,2461.4,183.8,1
268,2461.4,183.8,1
269,2461.4,183.8,1
270,2461.4,183.8,1
271,2461.4,183.8,1
272,2461.4,183.8,1
273,2461.4,183.7,1
274,2461.4,183.7,1
275,2461.4,183.7,1
276,2461.3,183.8,1
277,2461.3,183.8,1
278,2461.3,183.8,1
279,2461.3,183.8,1
280,2461.3,183.8,1
281,2461.3,183.8,1
282,2461.3,183.8,1
283,2461.3,183.8,1
284,2461.3,183.8,1
285,2461.3,183.8,1
286,2461.3,183.8,1
287,2461.3,183.8,1
288,2461.3,183.8,1
289,2461.3,183.8,1
290,2461.3,183.8,1
291,2461.3,183.8,1
292,2461.3,183.8,1
293,2461.3,183.8,1
294,2461.3,183.8,1
295,2461.3,183.8,1
296,2461.3,183.8,1
297,2461.3,183.8,1
298,2461.3,183.8,1
299,2461.3,183.8,1
300,2461.3,183.9,1
301,2461.3,184.0,1
302,2461.3,184.0,1
303,2461.3,184.0,1
304,2461.3,184.0,1
305,2461.3,184.0,1
306,2461.3,184.0,1
307,2461.3,184.0,1
